config,repeat,opponent,winrate,beaten
setup_weight_45,0,simple-uber-1,1.0,True
setup_weight_45,0,simple-ou-2,1.0,True
setup_weight_45,0,simple-uu-3,1.0,True
setup_weight_45,0,simple-ru-4,1.0,True
setup_weight_45,0,simple-nu-5,1.0,True
setup_weight_45,0,max_damage-uber-6,1.0,True
setup_weight_45,0,max_damage-ou-7,1.0,True
setup_weight_45,0,max_damage-uu-8,1.0,True
setup_weight_45,0,max_damage-ru-9,1.0,True
setup_weight_45,0,max_damage-nu-10,1.0,True
setup_weight_45,0,random-uber-11,1.0,True
setup_weight_45,0,random-ou-12,1.0,True
setup_weight_45,0,random-uu-13,1.0,True
setup_weight_45,0,random-ru-14,1.0,True
setup_weight_45,0,random-nu-15,1.0,True
setup_weight_45,1,simple-uber-1,1.0,True
setup_weight_45,1,simple-ou-2,1.0,True
setup_weight_45,1,simple-uu-3,1.0,True
setup_weight_45,1,simple-ru-4,1.0,True
setup_weight_45,1,simple-nu-5,1.0,True
setup_weight_45,1,max_damage-uber-6,1.0,True
setup_weight_45,1,max_damage-ou-7,1.0,True
setup_weight_45,1,max_damage-uu-8,1.0,True
setup_weight_45,1,max_damage-ru-9,1.0,True
setup_weight_45,1,max_damage-nu-10,1.0,True
setup_weight_45,1,random-uber-11,1.0,True
setup_weight_45,1,random-ou-12,1.0,True
setup_weight_45,1,random-uu-13,1.0,True
setup_weight_45,1,random-ru-14,1.0,True
setup_weight_45,1,random-nu-15,1.0,True
setup_weight_45,2,simple-uber-1,0.3333333333333333,False
setup_weight_45,2,simple-ou-2,0.6666666666666666,True
setup_weight_45,2,simple-uu-3,1.0,True
setup_weight_45,2,simple-ru-4,1.0,True
setup_weight_45,2,simple-nu-5,1.0,True
setup_weight_45,2,max_damage-uber-6,1.0,True
setup_weight_45,2,max_damage-ou-7,1.0,True
setup_weight_45,2,max_damage-uu-8,1.0,True
setup_weight_45,2,max_damage-ru-9,1.0,True
setup_weight_45,2,max_damage-nu-10,1.0,True
setup_weight_45,2,random-uber-11,1.0,True
setup_weight_45,2,random-ou-12,1.0,True
setup_weight_45,2,random-uu-13,1.0,True
setup_weight_45,2,random-ru-14,1.0,True
setup_weight_45,2,random-nu-15,1.0,True
