config,repeat,opponent,winrate,beaten
switch_defense_weight_30,0,simple-uber-1,0.6666666666666666,True
switch_defense_weight_30,0,simple-ou-2,0.6666666666666666,True
switch_defense_weight_30,0,simple-uu-3,0.6666666666666666,True
switch_defense_weight_30,0,simple-ru-4,1.0,True
switch_defense_weight_30,0,simple-nu-5,1.0,True
switch_defense_weight_30,0,max_damage-uber-6,1.0,True
switch_defense_weight_30,0,max_damage-ou-7,1.0,True
switch_defense_weight_30,0,max_damage-uu-8,1.0,True
switch_defense_weight_30,0,max_damage-ru-9,1.0,True
switch_defense_weight_30,0,max_damage-nu-10,1.0,True
switch_defense_weight_30,0,random-uber-11,1.0,True
switch_defense_weight_30,0,random-ou-12,1.0,True
switch_defense_weight_30,0,random-uu-13,1.0,True
switch_defense_weight_30,0,random-ru-14,1.0,True
switch_defense_weight_30,0,random-nu-15,1.0,True
switch_defense_weight_30,1,simple-uber-101,0.3333333333333333,False
switch_defense_weight_30,1,simple-ou-102,1.0,True
switch_defense_weight_30,1,simple-uu-103,1.0,True
switch_defense_weight_30,1,simple-ru-104,1.0,True
switch_defense_weight_30,1,simple-nu-105,1.0,True
switch_defense_weight_30,1,max_damage-uber-106,0.0,False
switch_defense_weight_30,1,max_damage-ou-107,1.0,True
switch_defense_weight_30,1,max_damage-uu-108,1.0,True
switch_defense_weight_30,1,max_damage-ru-109,1.0,True
switch_defense_weight_30,1,max_damage-nu-110,1.0,True
switch_defense_weight_30,1,random-uber-111,1.0,True
switch_defense_weight_30,1,random-ou-112,1.0,True
switch_defense_weight_30,1,random-uu-113,1.0,True
switch_defense_weight_30,1,random-ru-114,1.0,True
switch_defense_weight_30,1,random-nu-115,1.0,True
switch_defense_weight_30,2,simple-uber-201,0.6666666666666666,True
switch_defense_weight_30,2,simple-ou-202,0.6666666666666666,True
switch_defense_weight_30,2,simple-uu-203,0.6666666666666666,True
switch_defense_weight_30,2,simple-ru-204,1.0,True
switch_defense_weight_30,2,simple-nu-205,1.0,True
switch_defense_weight_30,2,max_damage-uber-206,0.0,False
switch_defense_weight_30,2,max_damage-ou-207,1.0,True
switch_defense_weight_30,2,max_damage-uu-208,1.0,True
switch_defense_weight_30,2,max_damage-ru-209,1.0,True
switch_defense_weight_30,2,max_damage-nu-210,1.0,True
switch_defense_weight_30,2,random-uber-211,1.0,True
switch_defense_weight_30,2,random-ou-212,1.0,True
switch_defense_weight_30,2,random-uu-213,1.0,True
switch_defense_weight_30,2,random-ru-214,1.0,True
switch_defense_weight_30,2,random-nu-215,1.0,True
